,Unnamed: 0,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top.Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,Corrected
33,34,34,6/7/2025,24:38.6,2,1,"DeCaro, Jason",811311,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,1,Bottom,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,77.61879,1.676711,-2.139233,2825.488798,48.612697,7:30,5.96185,3.23435,4.71004,-58.16389,-9.7852,-12.71666,2.70777,0.14336,71.72864,-8.720805,-4.371471,0.500609,,,,,,,,,5.66638,-4.83957,-3.00585,50,6.07902,4.73659,-112.59285,1.11542,7.29124,19.98587,-38.40142,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,e88067c0-43bb-11f0-bf07-e94b9748e067,75.29318,,5.89015,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,24:38.6,2025-06-07T12:24:38.5802752-04:00,2025-06-07T16:24:38.5802752Z,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,5ea913a8-004b-4cf2-9975-c1e38394f69f,55.79167,-113.61626,9.99293,5.97156,3.08181,-19.20071,-3.23883,4.36324,3.64562,,,,,,,,,,,High,High,High,,,TRUE
34,35,35,6/7/2025,24:53.2,2,2,"DeCaro, Jason",811311,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,1,Bottom,1,0,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,93.04741,-0.655322,-5.339,2489.445606,245.873818,2:15,6.09426,3.08997,5.0475,-24.22962,9.8591,19.14832,3.4543,-0.3647,83.44225,-5.139745,-1.974987,0.42022,100.97371,-0.556924,-12.724394,2336.034593,51.47641,51.05042,-11.980096,0.359911,-11.25898,5.45469,-2.59621,50,6.01276,11.60777,-134.23249,-2.48738,-20.21006,33.44315,-22.38275,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,f12bf2e0-43bb-11f0-bf07-e94b9748e067,89.69692,3.48133,9.60516,1.61546,3.48133,0.37379,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,24:53.2,2025-06-07T12:24:53.1644928-04:00,2025-06-07T16:24:53.1644928Z,GroundBall,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,f1248632-3192-4c04-9fa7-4be51fa9dea0,55.44912,-135.58331,16.72157,6.09497,-1.58331,-11.19138,-3.08156,12.42408,-10.10503,3.044485,1.62556,144.07465,-24.19393,3.49025,-1.7723,-22.08532,0.3718,-32.544,5.07953,High,High,High,High,High,TRUE
99,100,100,6/7/2025,05:00.0,1,1,"DeCaro, Jason",811311,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,3,Bottom,0,0,0,Fastball,,InPlay,Undefined,GroundBall,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,ae54d670-43c1-11f0-bf07-e94b9748e067,,,,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,,,,,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
146,147,147,6/7/2025,38:01.7,6,1,"Haugh, Aidan",815063,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,4,Bottom,2,0,0,Curveball,Curveball,InPlay,Undefined,GroundBall,Single,0,1,80.0147,-0.102001,-2.406562,2593.708077,27.659164,7:00,6.29297,2.30895,5.40586,-53.87471,-9.05457,-5.51693,1.70776,-0.40693,73.36132,-9.858193,-3.389281,0.481846,46.25322,-58.19707,1.957723,,5.29329,5.29329,3.27857,0.036833,2.06732,-4.21851,-2.09054,50,6.24562,5.09394,-116.07033,-2.08891,2.79202,23.75807,-37.87129,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,28e112b0-43c6-11f0-bf07-e94b9748e067,78.22513,2.13903,6.65338,3.959,2.13903,0.25741,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,38:01.7,2025-06-07T13:38:01.7430528-04:00,2025-06-07T17:38:01.7430528Z,GroundBall,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,292dec25-24bd-40a8-be5c-f35895583436,55.09469,-117.1085,11.87904,6.30074,-0.43403,-18.93564,-2.31047,4.97194,1.39601,,3.95745,35.99013,,2.14152,-58.07341,,0.25736,1.23022,,High,High,High,Estimated,Estimated,TRUE
202,203,203,6/7/2025,08:28.8,2,1,"Haugh, Aidan",815063,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,6,Bottom,1,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,82.68512,-0.503814,-3.375906,2619.131855,20.446808,6:45,6.26402,2.12239,5.08853,-50.7568,-8.41217,-3.63173,1.55862,-1.36567,76.10953,-9.622651,-4.017891,0.46835,,,,,,,,,0.83032,-3.63484,-1.79989,50,6.1762,7.22337,-119.81619,-2.99161,1.20243,23.97444,-37.43782,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,69ca5d50-43ca-11f0-8907-61d02edce62a,80.47922,,6.5756,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,08:28.8,2025-06-07T14:08:28.8069632-04:00,2025-06-07T18:08:28.8069632Z,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,8c934057-3c14-4937-bea5-4d94b58305ef,55.41102,-120.89405,11.98722,6.27286,-1.30845,-18.71891,-2.12342,7.16931,0.60122,,,,,,,,,,,High,High,High,,,TRUE
203,204,204,6/7/2025,08:43.3,2,2,"Haugh, Aidan",815063,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,6,Bottom,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,94.54218,-2.8096,-4.780552,2556.887046,199.306568,12:45,6.26809,2.12242,6.01715,-16.32383,15.2743,4.96673,2.29413,-1.90209,85.76064,-5.909743,-3.8922,0.404578,,,,,,,,,-3.98992,9.02134,-1.74969,50,6.03816,11.20555,-136.63834,-7.22591,-7.4812,32.41226,-15.25873,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,7283f230-43ca-11f0-8907-61d02edce62a,93.16492,,8.78155,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,08:43.3,2025-06-07T14:08:43.3377792-04:00,2025-06-07T18:08:43.3377792Z,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,8a69f2e0-9427-41af-9559-3ae65424d032,54.47833,-137.69655,16.20613,6.26595,-6.72773,-7.62937,-2.11953,11.4498,-3.7406,,,,,,,,,,,High,High,High,,,TRUE
204,205,205,6/7/2025,08:57.1,2,3,"Haugh, Aidan",815063,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,6,Bottom,1,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,82.2402,0.082741,-0.771855,2686.999368,32.230466,7:00,6.1696,2.25406,5.34135,-50.91755,-8.51906,-6.24213,2.00409,1.00978,75.33441,-9.146139,-1.883798,0.468648,,,,,,,,,2.90618,-3.90492,-2.17984,50,6.14037,1.86728,-119.38015,-1.69616,4.16138,24.6516,-37.76548,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,7ad32c80-43ca-11f0-8907-61d02edce62a,80.42806,,6.90579,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,08:57.1,2025-06-07T14:08:57.0721792-04:00,2025-06-07T18:08:57.0721792Z,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,358504c0-e094-47f5-9910-fac69b82e430,55.15813,-120.44058,12.3258,6.17839,-0.07162,-18.88274,-2.25632,1.68827,2.08069,,,,,,,,,,,High,High,High,,,TRUE
205,206,206,6/7/2025,09:13.3,2,4,"Haugh, Aidan",815063,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,6,Bottom,1,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,82.12219,-1.602306,-2.183896,2737.509801,30.023341,7:00,6.22597,2.16395,5.35696,-52.56747,-9.728,-6.46193,0.34123,-0.42358,75.22531,-11.07966,-3.335952,0.471079,,,,,,,,,2.57284,-4.03516,-1.96279,50,6.04405,4.80188,-119.03033,-5.23925,3.63747,25.94965,-37.87897,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,8471ca30-43ca-11f0-8907-61d02edce62a,80.01304,,6.89688,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,09:13.3,2025-06-07T14:09:13.3313536-04:00,2025-06-07T18:09:13.3313536Z,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,38d37115-a437-4f7b-b4e7-3b13aa8415fd,55.14281,-120.14627,12.97483,6.23433,-3.61029,-18.93949,-2.16593,4.64545,1.81874,,,,,,,,,,,High,High,High,,,TRUE
280,281,281,6/7/2025,54:35.7,5,1,"McDuffie, Walker",831177,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,7,Bottom,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,83.35117,0.270154,-1.373288,2863.265838,78.851391,8:45,5.23675,2.23737,4.53156,-44.63164,-1.99473,-17.26036,1.77476,-0.50889,76.09756,-7.735784,-4.394965,0.469964,,,,,,,,,7.99977,-0.64512,-2.0768,50,5.22269,3.6891,-120.77031,-1.23534,11.71775,25.32934,-33.11901,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,db16abc0-43d0-11f0-8907-61d02edce62a,80.20289,,7.25361,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,54:35.7,2025-06-07T14:54:35.7249024-04:00,2025-06-07T18:54:35.7249024Z,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,afd0af58-8655-41e6-982e-59e77598cd70,55.96679,-122.01532,12.66467,5.24341,0.39255,-16.55951,-2.24397,3.11314,5.85887,,,,,,,,,,,High,High,High,,,TRUE
281,282,282,6/7/2025,54:55.0,5,2,"McDuffie, Walker",831177,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,7,Bottom,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,82.88691,-0.21876,-2.410512,2869.629982,72.427368,8:30,5.19251,2.21846,4.70614,-46.54097,-3.90213,-16.47261,1.10627,-1.44355,76.31476,-8.545314,-5.301145,0.469974,,,,,,,,,7.38674,-1.44232,-1.95887,50,5.12863,5.79603,-120.15107,-2.30663,10.77102,23.8242,-34.27718,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,e673e960-43d0-11f0-8907-61d02edce62a,80.20107,,6.57214,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,54:55.0,2025-06-07T14:54:54.9725184-04:00,2025-06-07T18:54:54.9725184Z,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,0e023400-3bb0-4ecb-8135-966ce280a95b,55.79321,-121.29434,11.9121,5.19985,-0.66175,-17.13859,-2.22461,5.27915,5.38551,,,,,,,,,,,High,High,High,,,TRUE
282,283,283,6/7/2025,55:21.4,5,3,"McDuffie, Walker",831177,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,7,Bottom,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,StolenBase,0,1,85.90095,-0.988212,-3.205673,2907.985837,80.799623,8:45,5.2488,2.13791,4.69827,-41.4112,-1.59343,-17.44643,0.8582,-2.36226,79.05598,-8.388227,-6.261187,0.454161,,,,,,,,,7.67004,-0.15118,-1.79611,50,5.11123,7.76736,-124.40003,-3.83279,11.97527,25.80877,-32.41007,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,f642b1f0-43d0-11f0-8907-61d02edce62a,82.99353,,6.84497,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,55:21.4,2025-06-07T14:55:21.3614080-04:00,2025-06-07T18:55:21.3614080Z,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,bb38800f-a644-4baf-b91f-7f93c04c5de5,55.80114,-125.5978,12.90439,5.25421,-2.32866,-16.20504,-2.14369,7.21159,5.98763,,,,,,,,,,,High,High,High,,,TRUE
283,284,284,6/7/2025,55:59.8,5,4,"McDuffie, Walker",831177,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,7,Bottom,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,83.76999,-0.583854,-2.269321,3030.480756,72.901245,8:30,5.17167,2.30556,4.65746,-45.35105,-3.83158,-16.31859,0.8373,-1.21132,77.67953,-8.66951,-5.131575,0.463764,,,,,,,,,7.44756,-1.40886,-2.05807,50,5.07037,5.54336,-121.54366,-3.05886,11.19275,22.78663,-34.29139,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,0d285be0-43d1-11f0-8907-61d02edce62a,81.27496,,6.09046,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,55:59.8,2025-06-07T14:55:59.7712384-04:00,2025-06-07T18:55:59.7712384Z,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,7753e87d-dfb4-459f-a54c-ecb34ab56e94,55.84358,-122.63431,11.39332,5.1775,-1.41757,-17.1457,-2.31057,5.00764,5.59637,,,,,,,,,,,High,High,High,,,TRUE
284,285,285,6/7/2025,56:21.3,5,5,"McDuffie, Walker",831177,Right,NOR_TAR,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,7,Bottom,1,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,83.98465,-0.141776,-1.612377,2902.530448,80.428983,8:45,5.20484,2.41096,4.71387,-41.98687,-0.97098,-12.53898,1.57134,-0.16453,77.92987,-7.662993,-3.815015,0.460943,,,,,,,,,5.78205,-0.12024,-2.23607,50,5.15268,3.99129,-121.95181,-1.97251,8.78971,21.86441,-32.35685,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,1a020050-43d1-11f0-8907-61d02edce62a,81.77241,,6.05477,,,,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,56:21.3,2025-06-07T14:56:21.2756992-04:00,2025-06-07T18:56:21.2756992Z,,v3,232,471370,"Stevenson, Luke",806233,Right,NOR_TAR,f7d16f6c-5e0f-4e0f-8910-a0f0195bbd54,55.78652,-122.98489,10.9322,5.20976,-0.44368,-16.17843,-2.41484,3.57598,4.39486,,,,,,,,,,,High,High,High,,,TRUE
